full_name,member_title,last_name,state,party_name,chamber,year_start,year_end,member_id
Barbara A. Mikulski,Senator,Mikulski,Maryland,Democratic,Senate,1987,2017,80
Barbara B. Kennelly,Representative,Kennelly,Connecticut,Democratic,House,1981,1999,81
Barbara Boxer,Senator,Boxer,California,Democratic,House,1983,1993,82
Barbara Boxer,Senator,Boxer,California,Democratic,Senate,1993,2017,83
Barbara Comstock,Representative,Comstock,Virginia,Republican,House,2015,2019,84
Barbara Cubin,Representative,Cubin,Wyoming,Republican,House,1995,2009,85
Barbara F. Vucanovich,Representative,Vucanovich,Nevada,Republican,House,1983,1997,86
Barbara Lee,Representative,Lee,California,Democratic,House,1997,2020,87
Barbara-Rose Collins,Representative,Collins,Michigan,Democratic,House,1991,1997,88
Barney Frank,Representative,Frank,Massachusetts,Democratic,House,1981,2013,89
Baron P. Hill,Representative,Hill,Indiana,Democratic,House,1999,2011,90
Barry Loudermilk,Representative,Loudermilk,Georgia,Republican,House,2015,2020,91
Bart Gordon,Representative,Gordon,Tennessee,Democratic,House,1985,2011,92
Bart Stupak,Representative,Stupak,Michigan,Democratic,House,1993,2011,93
Beau Boulter,Representative,Boulter,Texas,Republican,House,1985,1989,94
Ben Chandler,Representative,Chandler,Kentucky,Democratic,House,2004,2013,95
Ben Cline,Representative,Cline,Virginia,Republican,House,2019,2020,96
Ben Erdreich,Representative,Erdreich,Alabama,Democratic,House,1983,1993,97
Ben G. Blaz,Delegate,Blaz,Guam,Republican,House,1985,1993,98
Ben Jones,Representative,Jones,Georgia,Democratic,House,1989,1993,99
Ben McAdams,Representative,McAdams,Utah,Democratic,House,2019,2020,100
Ben Nelson,Senator,Nelson,Nebraska,Democratic,Senate,2001,2013,101
Ben Nighthorse Campbell,Senator,Campbell,Colorado,Republican,House,1987,1993,102
Ben Nighthorse Campbell,Senator,Campbell,Colorado,Republican,Senate,1993,2005,103
Ben Ray Lujan,Representative,Lujan,New Mexico,Democratic,House,2009,2020,104
Ben Sasse,Senator,Sasse,Nebraska,Republican,Senate,2015,2020,105
Benjamin A. Gilman,Representative,Gilman,New York,Republican,House,1973,2003,106
Benjamin L. Cardin,Senator,Cardin,Maryland,Democratic,House,1987,2007,107
Benjamin L. Cardin,Senator,Cardin,Maryland,Democratic,Senate,2007,2020,108
Benjamin Quayle,Representative,Quayle,Arizona,Republican,House,2011,2013,109
Bennie G. Thompson,Representative,Thompson,Mississippi,Democratic,House,1993,2020,110
Bernard J. Dwyer,Representative,Dwyer,New Jersey,Democratic,House,1981,1993,111
Bernard Sanders,Senator,Sanders,Vermont,Independent,House,1991,2007,112
Bernard Sanders,Senator,Sanders,Vermont,Independent,Senate,2007,2020,113
"Beryl, Jr. Anthony",Representative,Anthony,Arkansas,Democratic,House,1979,1993,114
Beto O'Rourke,Representative,O'Rourke,Texas,Democratic,House,2013,2019,115
Betsy Markey,Representative,Markey,Colorado,Democratic,House,2009,2011,116
Betty McCollum,Representative,McCollum,Minnesota,Democratic,House,2001,2020,117
Betty Sutton,Representative,Sutton,Ohio,Democratic,House,2007,2013,118
Beverly B. Byron,Representative,Byron,Maryland,Democratic,House,1979,1993,119
Bill Alexander,Representative,Alexander,Arkansas,Democratic,House,1969,1993,120
Bill Archer,Representative,Archer,Texas,Republican,House,1971,2001,121
Bill Baker,Representative,Baker,California,Republican,House,1993,1997,122
Bill Barrett,Representative,Barrett,Nebraska,Republican,House,1991,2001,123
Bill Bradley,Senator,Bradley,New Jersey,Democratic,Senate,1979,1997,124
Bill Cassidy,Senator,Cassidy,Louisiana,Republican,House,2009,2015,125
Bill Cassidy,Senator,Cassidy,Louisiana,Republican,Senate,2015,2020,126
