full_name,member_title,last_name,state,party_name,chamber,year_start,year_end,member_id
Dan Quayle,Senator,Quayle,Indiana,Republican,Senate,1981,1991,357
Dan Rostenkowski,Representative,Rostenkowski,Illinois,Democratic,House,1959,1995,358
Dan Schaefer,Representative,Schaefer,Colorado,Republican,House,1983,1999,359
Dan Sullivan,Senator,Sullivan,Alaska,Republican,Senate,2015,2020,360
Dana Rohrabacher,Representative,Rohrabacher,California,Republican,House,1989,2019,361
Daniel Andrew Mica,Representative,Mica,Florida,Democratic,House,1979,1989,362
Daniel B. Maffei,Representative,Maffei,New York,Democratic,House,2009,2015,363
Daniel Coats,Senator,Coats,Indiana,Republican,House,2011,2017,364
Daniel Coats,Senator,Coats,Indiana,Republican,Senate,1989,1999,365
Daniel E. Lungren,Representative,Lungren,California,Republican,House,1979,2013,366
Daniel J. Evans,Senator,Evans,Washington,Republican,Senate,1983,1989,367
Daniel K. Akaka,Senator,Akaka,Hawaii,Democratic,House,1977,1991,368
Daniel K. Akaka,Senator,Akaka,Hawaii,Democratic,Senate,1990,2013,369
Daniel K. Inouye,Senator,Inouye,Hawaii,Democratic,House,1959,1963,370
Daniel K. Inouye,Senator,Inouye,Hawaii,Democratic,Senate,1963,2012,371
Daniel Lipinski,Representative,Lipinski,Illinois,Democratic,House,2005,2020,372
"Daniel M., Jr. Donovan",Representative,Donovan,New York,Republican,House,2015,2019,373
Daniel Meuser,Representative,Meuser,Pennsylvania,Republican,House,2019,2020,374
Daniel Patrick Moynihan,Senator,Moynihan,New York,Democratic,Senate,1977,2001,375
Daniel T. Kildee,Representative,Kildee,Michigan,Democratic,House,2013,2020,376
Daniel Webster,Representative,Webster,Florida,Republican,House,2011,2020,377
Danny K. Davis,Representative,Davis,Illinois,Democratic,House,1997,2020,378
Dante B. Fascell,Representative,Fascell,Florida,Democratic,House,1955,1993,379
Darin LaHood,Representative,LaHood,Illinois,Republican,House,2015,2020,380
Darlene Hooley,Representative,Hooley,Oregon,Democratic,House,1997,2009,381
Darrell E. Issa,Representative,Issa,California,Republican,House,2001,2019,382
Darren Soto,Representative,Soto,Florida,Democratic,House,2017,2020,383
Dave Brat,Representative,Brat,Virginia,Republican,House,2014,2019,384
Dave Camp,Representative,Camp,Michigan,Republican,House,1991,2015,385
Dave Durenberger,Senator,Durenberger,Minnesota,Republican,Senate,1977,1995,386
Dave McCurdy,Representative,McCurdy,Oklahoma,Democratic,House,1981,1995,387
"Dave R, Nagle",Representative,Nagle,Iowa,Democratic,House,1987,1993,388
Dave Weldon,Representative,Weldon,Florida,Republican,House,1995,2009,389
David A. Levy,Representative,Levy,New York,Republican,House,1993,1995,390
David A. Trott,Representative,Trott,Michigan,Republican,House,2015,2019,391
David Alan Curson,Representative,Curson,Michigan,Democratic,House,2012,2013,392
David B. McKinley,Representative,McKinley,West Virginia,Republican,House,2011,2020,393
David D. Phelps,Representative,Phelps,Illinois,Democratic,House,1999,2003,394
David Davis,Representative,Davis,Tennessee,Republican,House,2007,2009,395
David Dreier,Representative,Dreier,California,Republican,House,1981,2013,396
David E. Bonior,Representative,Bonior,Michigan,Democratic,House,1977,2003,397
David E. Price,Representative,Price,North Carolina,Democratic,House,1987,2020,398
David E. Skaggs,Representative,Skaggs,Colorado,Democratic,House,1987,1999,399
David Funderburk,Representative,Funderburk,North Carolina,Republican,House,1995,1997,400
David G. Reichert,Representative,Reichert,Washington,Republican,House,2005,2019,401
David G. Valadao,Representative,Valadao,California,Republican,House,2013,2019,402
David H. Pryor,Senator,Pryor,Arkansas,Democratic,House,1965,1973,403
David H. Pryor,Senator,Pryor,Arkansas,Democratic,Senate,1979,1997,404
David J. Trone,Representative,Trone,Maryland,Democratic,House,2019,2020,405
David K. Karnes,Senator,Karnes,Nebraska,Republican,Senate,1987,1989,406
David Kustoff,Representative,Kustoff,Tennessee,Republican,House,2017,2020,407
David L. Boren,Senator,Boren,Oklahoma,Democratic,Senate,1979,1995,408
David L. Hobson,Representative,Hobson,Ohio,Republican,House,1991,2009,409
David Loebsack,Representative,Loebsack,Iowa,Democratic,House,2007,2020,410
David M. McIntosh,Representative,McIntosh,Indiana,Republican,House,1995,2001,411
David Mann,Representative,Mann,Ohio,Democratic,House,1993,1995,412
David McCann Sweeney,Representative,Sweeney,Texas,Republican,House,1985,1989,413
David Minge,Representative,Minge,Minnesota,Democratic,House,1993,2001,414
David N. Cicilline,Representative,Cicilline,Rhode Island,Democratic,House,2011,2020,415
David O'B. Martin,Representative,Martin,New York,Republican,House,1981,1993,416
David P. Joyce,Representative,Joyce,Ohio,Republican,House,2013,2020,417
David P. Roe,Representative,Roe,Tennessee,Republican,House,2009,2020,418
David Perdue,Senator,Perdue,Georgia,Republican,Senate,2015,2020,419
David R. Obey,Representative,Obey,Wisconsin,Democratic,House,1969,2011,420
David Rivera,Representative,Rivera,Florida,Republican,House,2011,2013,421
David Rouzer,Representative,Rouzer,North Carolina,Republican,House,2015,2020,422
David Schweikert,Representative,Schweikert,Arizona,Republican,House,2011,2020,423
David Scott,Representative,Scott,Georgia,Democratic,House,2003,2020,424
David Vitter,Senator,Vitter,Louisiana,Republican,House,1999,2005,425
David Vitter,Senator,Vitter,Louisiana,Republican,Senate,2005,2017,426
David W. Jolly,Representative,Jolly,Florida,Republican,House,2014,2017,427
David Wu,Representative,Wu,Oregon,Democratic,House,1999,2011,428
David Young,Representative,Young,Iowa,Republican,House,2015,2019,429
Dean A. Gallo,Representative,Gallo,New Jersey,Republican,House,1985,1995,430
Dean Heller,Senator,Heller,Nevada,Republican,House,2007,2011,431
Dean Heller,Senator,Heller,Nevada,Republican,Senate,2011,2019,432
Dean M. Barkley,Senator,Barkley,Minnesota,Independent,Senate,2002,2003,433
Dean Phillips,Representative,Phillips,Minnesota,Democratic,House,2019,2020,434
Deb Fischer,Senator,Fischer,Nebraska,Republican,Senate,2013,2020,435
Debbie Dingell,Representative,Dingell,Michigan,Democratic,House,2015,2020,436
Debbie Lesko,Representative,Lesko,Arizona,Republican,House,2018,2020,437
Debbie Mucarsel-Powell,Representative,Mucarsel-Powell,Florida,Democratic,House,2019,2020,438
Debbie Stabenow,Senator,Stabenow,Michigan,Democratic,House,1997,2001,439
Debbie Stabenow,Senator,Stabenow,Michigan,Democratic,Senate,2001,2020,440
Debbie Wasserman Schultz,Representative,Wasserman Schultz,Florida,Democratic,House,2005,2020,441
Deborah L. Halvorson,Representative,Halvorson,Illinois,Democratic,House,2009,2011,442
Deborah Pryce,Representative,Pryce,Ohio,Republican,House,1993,2009,443
Debra A. Haaland,Representative,Haaland,New Mexico,Democratic,House,2019,2020,444
Delbert L. Latta,Representative,Latta,Ohio,Republican,House,1959,1989,445
Denise L. Majette,Representative,Majette,Georgia,Democratic,House,2003,2005,446
Dennis A. Cardoza,Representative,Cardoza,California,Democratic,House,2003,2012,447
Dennis A. Ross,Representative,Ross,Florida,Republican,House,2011,2019,448
Dennis DeConcini,Senator,DeConcini,Arizona,Democratic,Senate,1977,1995,449
Dennis E. Eckart,Representative,Eckart,Ohio,Democratic,House,1981,1993,450
Dennis J. Kucinich,Representative,Kucinich,Ohio,Democratic,House,1997,2013,451
Dennis M. Hertel,Representative,Hertel,Michigan,Democratic,House,1981,1993,452
Dennis Moore,Representative,Moore,Kansas,Democratic,House,1999,2011,453
Denny Heck,Representative,Heck,Washington,Democratic,House,2013,2020,454
Denny Rehberg,Representative,Rehberg,Montana,Republican,House,2001,2013,455
Denny Smith,Representative,Smith,Oregon,Republican,House,1981,1991,456
Denver Riggleman,Representative,Riggleman,Virginia,Republican,House,2019,2020,457
Derek Kilmer,Representative,Kilmer,Washington,Democratic,House,2013,2020,458
Devin Nunes,Representative,Nunes,California,Republican,House,2003,2020,459
Diana DeGette,Representative,DeGette,Colorado,Democratic,House,1997,2020,460
Diane Black,Representative,Black,Tennessee,Republican,House,2011,2019,461
Diane E. Watson,Representative,Watson,California,Democratic,House,2001,2011,462
Dianne Feinstein,Senator,Feinstein,California,Democratic,Senate,1992,2020,463
Dick Cheney,Representative,Cheney,Wyoming,Republican,House,1979,1991,464
Dick Chrysler,Representative,Chrysler,Michigan,Republican,House,1995,1997,465
Dick Nichols,Representative,Nichols,Kansas,Republican,House,1991,1993,466
Dick Swett,Representative,Swett,New Hampshire,Democratic,House,1991,1995,467
Dick Zimmer,Representative,Zimmer,New Jersey,Republican,House,1991,1997,468
Dina Titus,Representative,Titus,Nevada,Democratic,House,2009,2020,469
Dirk Kempthorne,Senator,Kempthorne,Idaho,Republican,Senate,1993,1999,470
Doc Hastings,Representative,Hastings,Washington,Republican,House,1995,2015,471
Don Bacon,Representative,Bacon,Nebraska,Republican,House,2017,2020,472
Don Bonker,Representative,Bonker,Washington,Democratic,House,1975,1989,473
Don Edwards,Representative,Edwards,California,Democratic,House,1963,1995,474
Don Johnson,Representative,Johnson,Georgia,Democratic,House,1993,1995,475
Don Nickles,Senator,Nickles,Oklahoma,Republican,Senate,1981,2005,476
Don Ritter,Representative,Ritter,Pennsylvania,Republican,House,1979,1993,477
Don Sherwood,Representative,Sherwood,Pennsylvania,Republican,House,1999,2007,478
Don Sundquist,Representative,Sundquist,Tennessee,Republican,House,1983,1995,479
Don Young,Representative,Young,Alaska,Republican,House,1973,2020,480
Donald A. Manzullo,Representative,Manzullo,Illinois,Republican,House,1993,2013,481
Donald E. Lukens,Representative,Lukens,Ohio,Republican,House,1967,1991,482
Donald J. Pease,Representative,Pease,Ohio,Democratic,House,1977,1993,483
"Donald J., Jr. Cazayoux",Representative,Cazayoux,Louisiana,Democratic,House,2008,2009,484
Donald M. Payne,Representative,Payne,New Jersey,Democratic,House,1989,2012,485
"Donald M., Jr. Payne",Representative,Payne,New Jersey,Democratic,House,2012,2020,486
Donald Norcross,Representative,Norcross,New Jersey,Democratic,House,2014,2020,487
"Donald S., Jr. Beyer",Representative,Beyer,Virginia,Democratic,House,2015,2020,488
"Donald W., Jr. Riegle",Senator,Riegle,Michigan,Democratic,House,1967,1977,489
"Donald W., Jr. Riegle",Senator,Riegle,Michigan,Democratic,Senate,1977,1995,490
Donna E. Shalala,Representative,Shalala,Florida,Democratic,House,2019,2020,491
Donna F. Edwards,Representative,Edwards,Maryland,Democratic,House,2008,2017,492
Donna M. Christensen,Delegate,Christensen,Virgin Islands,Democratic,House,1997,2015,493
Doris O. Matsui,Representative,Matsui,California,Democratic,House,2005,2020,494
Doug Bereuter,Representative,Bereuter,Nebraska,Republican,House,1979,2004,495
Doug Collins,Representative,Collins,Georgia,Republican,House,2013,2020,496
Doug Jones,Senator,Jones,Alabama,Democratic,Senate,2018,2020,497
Doug LaMalfa,Representative,LaMalfa,California,Republican,House,2013,2020,498
Doug Lamborn,Representative,Lamborn,Colorado,Republican,House,2007,2020,499
Doug Ose,Representative,Ose,California,Republican,House,1999,2005,500
Doug Walgren,Representative,Walgren,Pennsylvania,Democratic,House,1977,1991,501
"Doug, Jr. Barnard",Representative,Barnard,Georgia,Democratic,House,1977,1993,502
Douglas (Pete) Peterson,Representative,Peterson,Florida,Democratic,House,1991,1997,503
Douglas Applegate,Representative,Applegate,Ohio,Democratic,House,1977,1995,504
Douglas H. Bosco,Representative,Bosco,California,Democratic,House,1983,1991,505
Duncan D. Hunter,Representative,Hunter,California,Republican,House,2009,2020,506
Duncan Hunter,Representative,Hunter,California,Republican,House,1981,2009,507
Dusty Johnson,Representative,Johnson,South Dakota,Republican,House,2019,2020,508
Dwight Evans,Representative,Evans,Pennsylvania,Democratic,House,2016,2020,509
"E. Clay, Jr. Shaw",Representative,Shaw,Florida,Republican,House,1981,2007,510
E. J. (Jake) Garn,Senator,Garn,Utah,Republican,Senate,1975,1993,511
E. Scott Rigell,Representative,Rigell,Virginia,Republican,House,2011,2017,512
E. Thomas Coleman,Representative,Coleman,Missouri,Republican,House,1977,1993,513
E. de la Garza,Representative,de la Garza,Texas,Democratic,House,1965,1997,514
Earl Blumenauer,Representative,Blumenauer,Oregon,Democratic,House,1995,2020,515
Earl F. Hilliard,Representative,Hilliard,Alabama,Democratic,House,1993,2003,516
Earl Hutto,Representative,Hutto,Florida,Democratic,House,1979,1995,517
"Earl L. ""Buddy"" Carter",Representative,Carter,Georgia,Republican,House,2015,2020,518
Earl Pomeroy,Representative,Pomeroy,North Dakota,Democratic,House,1993,2011,519
Ed Bryant,Representative,Bryant,Tennessee,Republican,House,1995,2003,520
Ed Case,Representative,Case,Hawaii,Democratic,House,2002,2020,521
Ed Jones,Representative,Jones,Tennessee,Democratic,House,1969,1989,522
Ed Pastor,Representative,Pastor,Arizona,Democratic,House,1991,2015,523
Ed Perlmutter,Representative,Perlmutter,Colorado,Democratic,House,2007,2020,524
Ed Whitfield,Representative,Whitfield,Kentucky,Republican,House,1995,2016,525
Eddie Bernice Johnson,Representative,Johnson,Texas,Democratic,House,1993,2020,526
Edgar L. Jenkins,Representative,Jenkins,Georgia,Democratic,House,1977,1993,527
Edolphus Towns,Representative,Towns,New York,Democratic,House,1983,2013,528
Edward A. Pease,Representative,Pease,Indiana,Republican,House,1997,2001,529
Edward E. Kaufman,Senator,Kaufman,Delaware,Democratic,Senate,2009,2010,530
Edward F. Feighan,Representative,Feighan,Ohio,Democratic,House,1983,1993,531
Edward J. Markey,Senator,Markey,Massachusetts,Democratic,House,1977,2013,532
Edward J. Markey,Senator,Markey,Massachusetts,Democratic,Senate,2013,2020,533
Edward L. Schrock,Representative,Schrock,Virginia,Republican,House,2001,2005,534
Edward M. Kennedy,Senator,Kennedy,Massachusetts,Democratic,Senate,1961,2009,535
Edward P. Boland,Representative,Boland,Massachusetts,Democratic,House,1953,1989,536
Edward R. Madigan,Representative,Madigan,Illinois,Republican,House,1973,1993,537
Edward R. Roybal,Representative,Roybal,California,Democratic,House,1963,1993,538
Edward R. Royce,Representative,Royce,California,Republican,House,1993,2019,539
Edward Zorinsky,Senator,Zorinsky,Nebraska,Democratic,Senate,1977,1989,540
Elaine G. Luria,Representative,Luria,Virginia,Democratic,House,2019,2020,541
Eleanor Holmes Norton,Delegate,Norton,District of Columbia,Democratic,House,1991,2020,542
Elijah E. Cummings,Representative,Cummings,Maryland,Democratic,House,1995,2019,543
Eliot L. Engel,Representative,Engel,New York,Democratic,House,1989,2020,544
Elise M. Stefanik,Representative,Stefanik,New York,Republican,House,2015,2020,545
Elissa Slotkin,Representative,Slotkin,Michigan,Democratic,House,2019,2020,546
Elizabeth Dole,Senator,Dole,North Carolina,Republican,Senate,2003,2009,547
Elizabeth Furse,Representative,Furse,Oregon,Democratic,House,1993,1999,548
Elizabeth H. Esty,Representative,Esty,Connecticut,Democratic,House,2013,2019,549
Elizabeth Patterson,Representative,Patterson,South Carolina,Democratic,House,1987,1993,550
Elizabeth Warren,Senator,Warren,Massachusetts,Democratic,Senate,2013,2020,551
Ellen O. Tauscher,Representative,Tauscher,California,Democratic,House,1997,2009,552
Elton Gallegly,Representative,Gallegly,California,Republican,House,1987,2013,553
Emanuel Cleaver,Representative,Cleaver,Missouri,Democratic,House,2005,2020,554
Eni F. H. Faleomavaega,Delegate,Faleomavaega,American Samoa,Democratic,House,1989,2015,555
Enid Greene Waldholtz,Representative,Waldholtz,Utah,Republican,House,1995,1997,556
"Eric A. ""Rick"" Crawford",Representative,Crawford,Arkansas,Republican,House,2011,2020,557
Eric Cantor,Representative,Cantor,Virginia,Republican,House,2001,2014,558
Eric D. Fingerhut,Representative,Fingerhut,Ohio,Democratic,House,1993,1995,559
Eric J. J. Massa,Representative,Massa,New York,Democratic,House,2009,2010,560
Eric Swalwell,Representative,Swalwell,California,Democratic,House,2013,2020,561
Erik Paulsen,Representative,Paulsen,Minnesota,Republican,House,2009,2019,562
Ernest F. Hollings,Senator,Hollings,South Carolina,Democratic,Senate,1965,2005,563
"Ernest J., Jr. Istook",Representative,Istook,Oklahoma,Republican,House,1993,2007,564
Ernest L. Konnyu,Representative,Konnyu,California,Republican,House,1987,1989,565
Ernie Fletcher,Representative,Fletcher,Kentucky,Republican,House,1999,2003,566
Estaban Edward Torres,Representative,Torres,California,Democratic,House,1983,1999,567
Eva M. Clayton,Representative,Clayton,North Carolina,Democratic,House,1991,2003,568
Evan Bayh,Senator,Bayh,Indiana,Democratic,Senate,1999,2011,569
Evan H. Jenkins,Representative,Jenkins,West Virginia,Republican,House,2015,2018,570
"F. James, Jr. Sensenbrenner",Representative,Sensenbrenner,Wisconsin,Republican,House,1979,2020,571
"Felix J., Jr. Grucci",Representative,Grucci,New York,Republican,House,2001,2003,572
Fernand J. St Germain,Representative,St Germain,Rhode Island,Democratic,House,1961,1989,573
Filemon Vela,Representative,Vela,Texas,Democratic,House,2013,2020,574
Floyd H. Flake,Representative,Flake,New York,Democratic,House,1987,1999,575
Floyd Spence,Representative,Spence,South Carolina,Republican,House,1971,2001,576
Fortney Pete Stark,Representative,Stark,California,Democratic,House,1973,2013,577
Foto I. F. Sunia,Delegate,Sunia,American Samoa,Democratic,House,1981,1989,578
Francis Rooney,Representative,Rooney,Florida,Republican,House,2017,2020,579
"Francisco ""Quico"" Canseco",Representative,Canseco,Texas,Republican,House,2011,2013,580
Frank A. Cremeans,Representative,Cremeans,Ohio,Republican,House,1995,1997,581
Frank A. LoBiondo,Representative,LoBiondo,New Jersey,Republican,House,1995,2019,582
Frank Annunzio,Representative,Annunzio,Illinois,Democratic,House,1965,1993,583
Frank C. Guinta,Representative,Guinta,New Hampshire,Republican,House,2011,2017,584
Frank D. Lucas,Representative,Lucas,Oklahoma,Republican,House,1993,2020,585
Frank H. Murkowski,Senator,Murkowski,Alaska,Republican,Senate,1981,2002,586
Frank J. Guarini,Representative,Guarini,New Jersey,Democratic,House,1979,1993,587
Frank J. Horton,Representative,Horton,New York,Republican,House,1963,1993,588
Frank Mascara,Representative,Mascara,Pennsylvania,Democratic,House,1995,2003,589
Frank McCloskey,Representative,McCloskey,Indiana,Democratic,House,1983,1995,590
Frank R. Lautenberg,Senator,Lautenberg,New Jersey,Democratic,Senate,1983,2013,591
Frank R. Wolf,Representative,Wolf,Virginia,Republican,House,1981,2015,592
Frank Riggs,Representative,Riggs,California,Republican,House,1991,1999,593
Frank Tejeda,Representative,Tejeda,Texas,Democratic,House,1993,1999,594
"Frank W., Jr. Ballance",Representative,Ballance,North Carolina,Democratic,House,2003,2004,595
"Frank, Jr. Kratovil",Representative,Kratovil,Maryland,Democratic,House,2009,2011,596
"Frank, Jr. Pallone",Representative,Pallone,New Jersey,Democratic,House,1987,2020,597
Fred Grandy,Representative,Grandy,Iowa,Republican,House,1987,1995,598
Fred Keller,Representative,Keller,Pennsylvania,Republican,House,2019,2020,599
Fred Thompson,Senator,Thompson,Tennessee,Republican,Senate,1994,2003,600
Fred Upton,Representative,Upton,Michigan,Republican,House,1987,2020,601
Frederica S. Wilson,Representative,Wilson,Florida,Democratic,House,2011,2020,602
Frederick K. (Fred) Heineman,Representative,Heineman,North Carolina,Republican,House,1995,1997,603
G. K. Butterfield,Representative,Butterfield,North Carolina,Democratic,House,2004,2020,604
G. Taylor,Representative,Taylor,Missouri,Republican,House,1973,1989,605
G. V. (Sonny) Montgomery,Representative,Montgomery,Mississippi,Democratic,House,1967,1997,606
Gabrielle Giffords,Representative,Giffords,Arizona,Democratic,House,2007,2012,607
Garret Graves,Representative,Graves,Louisiana,Republican,House,2015,2020,608
Gary A. Condit,Representative,Condit,California,Democratic,House,1989,2003,609
Gary A. Franks,Representative,Franks,Connecticut,Republican,House,1991,1997,610
Gary C. Peters,Senator,Peters,Michigan,Democratic,House,2009,2015,611
Gary C. Peters,Senator,Peters,Michigan,Democratic,Senate,2015,2020,612
Gary G. Miller,Representative,Miller,California,Republican,House,1999,2015,613
Gary J. Palmer,Representative,Palmer,Alabama,Republican,House,2015,2020,614
Gary L. Ackerman,Representative,Ackerman,New York,Democratic,House,1983,2013,615
Gene Green,Representative,Green,Texas,Democratic,House,1993,2019,616
Gene Taylor,Representative,Taylor,Mississippi,Democratic,House,1989,2011,617
Geoff Davis,Representative,Davis,Kentucky,Republican,House,2005,2012,618
George (Buddy) Darden,Representative,Darden,Georgia,Democratic,House,1983,1995,619
George Allen,Senator,Allen,Virginia,Republican,House,1991,1993,620
George Allen,Senator,Allen,Virginia,Republican,Senate,2001,2007,621
George C. Wortley,Representative,Wortley,New York,Republican,House,1981,1989,622
George E. Sangmeister,Representative,Sangmeister,Illinois,Democratic,House,1989,1995,623
"George E., Jr. Brown",Representative,Brown,California,Democratic,House,1963,2001,624
George Holding,Representative,Holding,North Carolina,Republican,House,2013,2020,625
George J. Hochbrueckner,Representative,Hochbrueckner,New York,Democratic,House,1987,1995,626
George J. Mitchell,Senator,Mitchell,Maine,Democratic,Senate,1979,1995,627
George Miller,Representative,Miller,California,Democratic,House,1975,2015,628
"George R., Jr. Nethercutt",Representative,Nethercutt,Washington,Republican,House,1995,2005,629
George Radanovich,Representative,Radanovich,California,Republican,House,1995,2011,630
George S. LeMieux,Senator,LeMieux,Florida,Republican,Senate,2009,2011,631
George V. Voinovich,Senator,Voinovich,Ohio,Republican,Senate,1999,2011,632
George W. Gekas,Representative,Gekas,Pennsylvania,Republican,House,1983,2003,633
"George W., Jr. Crockett",Representative,Crockett,Michigan,Democratic,House,1979,1991,634
Gerald B. H. Solomon,Representative,Solomon,New York,Republican,House,1979,1999,635
Gerald D. Kleczka,Representative,Kleczka,Wisconsin,Democratic,House,1983,2005,636
Gerald E. Connolly,Representative,Connolly,Virginia,Democratic,House,2009,2020,637
Gerry E. Sikorski,Representative,Sikorski,Minnesota,Democratic,House,1983,1993,638
Gerry E. Studds,Representative,Studds,Massachusetts,Democratic,House,1973,1997,639
Gil Gutknecht,Representative,Gutknecht,Minnesota,Republican,House,1995,2007,640
"Gilbert Ray, Jr. Cisneros",Representative,Cisneros,California,Democratic,House,2019,2020,641
Ginny Brown-Waite,Representative,Brown-Waite,Florida,Republican,House,2003,2011,642
Glen Browder,Representative,Browder,Alabama,Democratic,House,1989,1997,643
Glenn C. Nye,Representative,Nye,Virginia,Democratic,House,2009,2011,644
Glenn English,Representative,English,Oklahoma,Democratic,House,1975,1995,645
Glenn Grothman,Representative,Grothman,Wisconsin,Republican,House,2015,2020,646
Glenn M. Anderson,Representative,Anderson,California,Democratic,House,1969,1993,647
Glenn Poshard,Representative,Poshard,Illinois,Democratic,House,1989,1999,648
Glenn Thompson,Representative,Thompson,Pennsylvania,Republican,House,2009,2020,649
Gloria Negrete McLeod,Representative,Negrete McLeod,California,Democratic,House,2013,2015,650
Gordon H. Smith,Senator,Smith,Oregon,Republican,Senate,1997,2009,651
Gordon J. Humphrey,Senator,Humphrey,New Hampshire,Republican,Senate,1979,1991,652
Grace F. Napolitano,Representative,Napolitano,California,Democratic,House,1999,2020,653
Grace Meng,Representative,Meng,New York,Democratic,House,2013,2020,654
Greg Ganske,Representative,Ganske,Iowa,Republican,House,1995,2003,655
Greg Gianforte,Representative,Gianforte,Montana,Republican,House,2017,2020,656
Greg Laughlin,Representative,Laughlin,Texas,Republican,House,1989,1997,657
Greg Pence,Representative,Pence,Indiana,Republican,House,2019,2020,658
Greg Stanton,Representative,Stanton,Arizona,Democratic,House,2019,2020,659
Greg Walden,Representative,Walden,Oregon,Republican,House,1999,2020,660
Gregg Harper,Representative,Harper,Mississippi,Republican,House,2009,2019,661
Gregorio Kilili Camacho Sablan,Delegate,Sablan,Northern Mariana Islands,Democratic,House,2009,2020,662
Gregory Murphy,Representative,Murphy,North Carolina,Republican,House,2019,2020,663
Gregory W. Meeks,Representative,Meeks,New York,Democratic,House,1997,2020,664
Gus M. Bilirakis,Representative,Bilirakis,Florida,Republican,House,2007,2020,665
Gus Savage,Representative,Savage,Illinois,Democratic,House,1981,1993,666
Gus Yatron,Representative,Yatron,Pennsylvania,Democratic,House,1969,1993,667
Guy Molinari,Representative,Molinari,New York,Republican,House,1981,1991,668
Guy Reschenthaler,Representative,Reschenthaler,Pennsylvania,Republican,House,2019,2020,669
Guy Vander Jagt,Representative,Vander Jagt,Michigan,Republican,House,1965,1993,670
Gwen Graham,Representative,Graham,Florida,Democratic,House,2015,2017,671
Gwen Moore,Representative,Moore,Wisconsin,Democratic,House,2005,2020,672
H. Martin Lancaster,Representative,Lancaster,North Carolina,Democratic,House,1987,1995,673
H. Morgan Griffith,Representative,Griffith,Virginia,Republican,House,2011,2020,674
Hakeem S. Jeffries,Representative,Jeffries,New York,Democratic,House,2013,2020,675
Hal Daub,Representative,Daub,Nebraska,Republican,House,1981,1989,676
Haley M. Stevens,Representative,Stevens,Michigan,Democratic,House,2019,2020,677
"Hamilton, Jr. Fish",Representative,Fish,New York,Republican,House,1969,1995,678
Hank Brown,Senator,Brown,Colorado,Republican,House,1981,1991,679
Hank Brown,Senator,Brown,Colorado,Republican,Senate,1991,1997,680
Hansen Clarke,Representative,Clarke,Michigan,Democratic,House,2011,2013,681
Harlan Mathews,Senator,Mathews,Tennessee,Democratic,Senate,1993,1995,682
"Harley O., Jr. Staggers",Representative,Staggers,West Virginia,Democratic,House,1983,1993,683
Harley Rouda,Representative,Rouda,California,Democratic,House,2019,2020,684
Harold E. Ford,Representative,Ford,Tennessee,Democratic,House,1975,1997,685
"Harold E., Jr. Ford",Representative,Ford,Tennessee,Democratic,House,1997,2007,686
Harold L. Volkmer,Representative,Volkmer,Missouri,Democratic,House,1977,1997,687
Harold Rogers,Representative,Rogers,Kentucky,Republican,House,1981,2020,688
Harris W. Fawell,Representative,Fawell,Illinois,Republican,House,1985,1999,689
Harris Wofford,Senator,Wofford,Pennsylvania,Democratic,Senate,1991,1995,690
Harry E. Mitchell,Representative,Mitchell,Arizona,Democratic,House,2007,2011,691
Harry Johnston,Representative,Johnston,Florida,Democratic,House,1989,1997,692
Harry Reid,Senator,Reid,Nevada,Democratic,House,1983,1987,693
Harry Reid,Senator,Reid,Nevada,Democratic,Senate,1987,2017,694
Harry Teague,Representative,Teague,New Mexico,Democratic,House,2009,2011,695
Heath Shuler,Representative,Shuler,North Carolina,Democratic,House,2007,2013,696
Heather Wilson,Representative,Wilson,New Mexico,Republican,House,1997,2009,697
Heidi Heitkamp,Senator,Heitkamp,North Dakota,Democratic,Senate,2013,2019,698
Helen Chenoweth-Hage,Representative,Chenoweth-Hage,Idaho,Republican,House,1995,2001,699
Helen Delich Bentley,Representative,Bentley,Maryland,Republican,House,1985,1995,700
Henry A. Waxman,Representative,Waxman,California,Democratic,House,1975,2015,701
Henry B. Gonzalez,Representative,Gonzalez,Texas,Democratic,House,1961,1999,702
Henry Bonilla,Representative,Bonilla,Texas,Republican,House,1993,2007,703
"Henry C. ""Hank,"" Jr. Johnson",Representative,Johnson,Georgia,Democratic,House,2007,2020,704
Henry Cuellar,Representative,Cuellar,Texas,Democratic,House,2005,2020,705
"Henry E., Jr. Brown",Representative,Brown,South Carolina,Republican,House,2001,2011,706
Henry J. Hyde,Representative,Hyde,Illinois,Republican,House,1975,2007,707
Henry Nowak,Representative,Nowak,New York,Democratic,House,1975,1993,708
Herb Kohl,Senator,Kohl,Wisconsin,Democratic,Senate,1989,2013,709
Herbert C. Klein,Representative,Klein,New Jersey,Democratic,House,1993,1995,710
Herbert H. Bateman,Representative,Bateman,Virginia,Republican,House,1983,2001,711
Hilda L. Solis,Representative,Solis,California,Democratic,House,2001,2009,712
Hillary Rodham Clinton,Senator,Clinton,New York,Democratic,Senate,2001,2009,713
Howard C. Nielson,Representative,Nielson,Utah,Republican,House,1983,1991,714
Howard Coble,Representative,Coble,North Carolina,Republican,House,1985,2015,715
Howard E. Wolpe,Representative,Wolpe,Michigan,Democratic,House,1979,1993,716
Howard L. Berman,Representative,Berman,California,Democratic,House,1983,2013,717
Howard M. Metzenbaum,Senator,Metzenbaum,Ohio,Democratic,Senate,1973,1995,718
